project,bug_id,flexeme_exists,smartcommit_exists
Math,6,True,True
Math,13,True,True
Compress,41,True,True
Lang,23,True,True
Math,46,True,True
Mockito,36,False,True
Compress,17,True,True
Math,106,True,True
Jsoup,5,True,True
Lang,14,True,True
Csv,4,False,True
Closure,99,True,True
Cli,18,True,True
Cli,34,True,True
JacksonDatabind,86,True,True
JacksonDatabind,49,True,True
Closure,164,True,True
Lang,59,True,True
JacksonDatabind,1,False,True
Closure,133,True,True
Cli,40,True,True
Lang,9,True,True
Compress,29,True,True
JacksonCore,26,True,True
JacksonCore,3,True,True
Math,90,True,True
Jsoup,4,True,False
Closure,131,True,True
JacksonDatabind,75,True,True
Closure,108,True,True
Math,15,True,True
Closure,1,True,True
Codec,6,True,True
Closure,156,True,True
Closure,29,True,True
JacksonCore,7,True,True
Jsoup,3,True,True
Lang,60,True,True
Closure,85,True,True
Math,17,True,True
Jsoup,28,False,True
Jsoup,22,True,True
Closure,122,True,True
Codec,12,True,True
JacksonCore,5,True,False
JacksonDatabind,108,True,True
Cli,2,True,True
Jsoup,74,True,True
JacksonDatabind,100,True,True
Math,41,True,True
Compress,11,True,True
Compress,21,True,True
JacksonDatabind,107,True,True
Gson,1,True,True
Closure,2,True,True
Gson,5,True,True
Mockito,26,False,True
Closure,33,True,True
Jsoup,68,False,True
Cli,6,False,False
Closure,88,True,True
Closure,117,True,True
Jsoup,63,True,True
Math,11,True,True
Closure,83,True,True
Collections,3,False,False
Mockito,12,True,True
Closure,22,True,True
JxPath,2,True,True
Jsoup,72,True,True
JxPath,11,True,True
Math,59,True,True
Math,103,True,True
Mockito,34,False,True
Math,33,True,True
Closure,80,True,True
Lang,52,True,True
Gson,3,True,True
Closure,30,True,True
Codec,8,True,True
Closure,140,True,True
Closure,162,True,True
Gson,18,True,True
JacksonDatabind,56,False,True
Math,77,True,True
Mockito,22,False,True
Mockito,33,False,True
JacksonDatabind,85,True,False
Time,26,False,True
Cli,12,True,True
Math,29,True,True
JxPath,6,True,True
Closure,130,True,True
Codec,15,True,True
Time,20,True,True
Closure,94,True,True
Closure,34,True,True
Closure,124,True,True
Closure,139,True,True
Codec,14,True,True
Closure,6,True,True
JacksonDatabind,72,True,True
Closure,174,True,True
Gson,16,True,True
Closure,104,True,True
Math,27,True,True
Compress,47,True,True
Math,74,True,True
